Rk,Player,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,id
311,Antonio Brown,33,WR,7,3,1,6,0,6,6.0,0.9,0,BrowAn04
312,Dyami Brown,22,WR,15,6,1,-4,0,-4,-4.0,-0.3,0,BrowDy00
313,Marquise Brown,24,WR,16,16,1,5,0,5,5.0,0.3,3,BrowMa04
314,Sean Chandler,25,SS,15,7,1,14,0,14,14.0,0.9,0,ChanSe00
315,Randall Cobb,31,WR,12,3,1,1,0,1,1.0,0.1,1,CobbRa00
316,Chris Conley,29,WR,16,10,1,3,0,3,3.0,0.2,1,ConlCh00
317,Pharoh Cooper,26,WR,8,0,1,3,0,3,3.0,0.4,0,CoopPh00
318,Nathan Cottrell,25,RB,4,0,1,3,0,3,3.0,0.8,0,CottNa00
319,Jaelon Darden,22,WR,9,0,1,11,0,11,11.0,1.2,0,DardJa00
320,Phillip Dorsett,28,WR,6,0,1,0,0,0,0.0,0.0,0,DorsPh00
321,Greg Dortch,23,WR,5,2,1,24,0,24,24.0,4.8,0,DortGr01
322,Eric Ebron,28,TE,8,3,1,1,1,1,1.0,0.1,0,EbroEr00
323,Bryan Edwards,23,WR,16,12,1,0,0,0,0.0,0.0,1,EdwaBr01
324,Evan Engram,27,TE,15,12,1,-3,0,-3,-3.0,-0.2,1,EngrEv00
325,Zach Ertz,31,TE,17,14,1,4,0,4,4.0,0.2,0,ErtzZa00
326,Mike Evans*,28,WR,16,16,1,10,0,10,10.0,0.6,0,EvanMi00
327,Clayton Fejedelem,28,DB,17,0,1,0,0,0,0.0,0.0,1,FejeCl00
328,Maurice Ffrench,23,WR,3,0,1,3,0,3,3.0,1.0,0,FfreMa00
329,Ryan Fitzpatrick,39,QB,1,1,1,2,0,2,2.0,2.0,1,FitzRy00
330,Jamie Gillan,24,P,12,0,1,0,0,-8,0.0,0.0,1,GillJa00
331,Cyril Grayson,28,WR,5,3,1,14,0,14,14.0,2.8,0,GrayCy01
332,Johnny Hekker,31,P,17,0,1,0,0,0,0.0,0.0,1,HekkJo00
333,DeSean Jackson,35,WR,16,4,1,4,0,4,4.0,0.3,1,JackDe00
334,Christian Kirk,25,WR,17,11,1,11,0,11,11.0,0.6,0,KirkCh01
335,Cole Kmet,22,TE,17,17,1,0,0,0,0.0,0.0,0,KmetCo00
336,Patrick Laird,26,RB,6,0,1,4,0,4,4.0,0.7,0,LairPa00
337,Andy Lee,39,P,16,0,1,0,0,0,0.0,0.0,3,LeexAn20
338,Braden Mann,24,P,10,0,1,4,0,4,4.0,0.4,0,MannBr01
339,Nate McCrary,22,RB,1,0,1,-1,0,-1,-1.0,-1.0,0,McCrNa00
340,Terry McLaurin,26,WR,17,17,1,12,0,12,12.0,0.7,0,McLaTe00
341,D.K. Metcalf,24,WR,17,17,1,6,0,6,6.0,0.4,1,MetcDK00
342,Jakobi Meyers,25,WR,17,16,1,9,0,9,9.0,0.5,1,MeyeJa01
343,Dax Milne,22,WR,13,1,1,1,0,1,1.0,0.1,1,MilnDa00
344,C.J. Moore,26,DB,17,1,1,28,0,28,28.0,1.6,0,MoorCJ01
345,Stanley Morgan Jr.,25,WR,17,1,1,3,0,3,3.0,0.2,0,MorgSt02
346,Ryan Nall,26,RB,9,0,1,4,0,4,4.0,0.4,0,NallRy00
347,David Njoku,25,TE,16,11,1,1,0,1,1.0,0.1,0,NjokDa00
348,Gunner Olszewski,25,WR,16,0,1,9,0,9,9.0,0.6,3,OlszGu00
349,K.J. Osborn,24,WR,17,9,1,10,0,10,10.0,0.6,0,OsboKJ00
350,Devine Ozigbo,25,RB,3,0,1,-3,0,0,-3.0,-1.0,0,OzigDe01
351,Michael Palardy,29,P,17,0,1,1,0,1,1.0,0.1,0,PalaMi00
352,Josh Palmer,23,WR,17,5,1,6,0,6,6.0,0.4,0,PalmJo00
353,Breshad Perriman,28,WR,6,0,1,-3,0,-3,-3.0,-0.5,0,PerrBr02
354,Trey Ragas,25,RB,1,0,1,9,0,9,9.0,9.0,0,RagaTr00
355,Amari Rodgers,22,WR,16,1,1,11,0,11,11.0,0.7,2,RodgAm00
356,Chester Rogers,27,WR,16,2,1,9,0,9,9.0,0.6,4,RogeCh02
357,John Ross,26,WR,10,1,1,16,0,16,16.0,1.6,1,RossJo00
358,Sterling Shepard,28,WR,7,6,1,-9,0,-9,-9.0,-1.3,0,ShepSt00
359,Cam Sims,25,WR,14,3,1,7,0,7,7.0,0.5,0,SimsCa00
360,Darius Slayton,24,WR,13,5,1,-13,0,-13,-13.0,-1.0,1,SlayDa01
361,Ito Smith,26,RB,1,0,1,4,1,4,4.0,4.0,0,SmitIt00
362,Jeff Smith,24,WR,12,3,1,-1,0,-1,-1.0,-0.1,0,SmitJe03
363,Shi Smith,23,WR,6,0,1,-3,0,-3,-3.0,-0.5,0,SmitSh03
364,Tremon Smith,25,DB,17,2,1,7,0,7,7.0,0.4,0,SmitTr04
365,Kenny Stills,29,WR,13,4,1,1,0,1,1.0,0.1,0,StilKe00
366,Adam Thielen,31,WR,13,13,1,2,0,2,2.0,0.2,1,ThieAd00
367,Quez Watkins,23,WR,17,12,1,3,0,3,3.0,0.2,0,WatkQu00
368,Derek Watt,29,RB,17,4,1,1,0,1,1.0,0.1,0,WattDe00
369,Preston Williams,24,WR,8,3,1,7,0,7,7.0,0.9,0,WillPr01
370,Andrew Wingard,25,SS,15,15,1,4,0,4,4.0,0.3,0,WingAn01
371,Olamide Zaccheaus,24,WR,17,8,1,2,0,2,2.0,0.1,0,ZaccOl01
