Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,id
Jacob Eason,24,QB,1,0,,2,5,40.0,25,0,0.0,1,20.0,5.0,-4.0,12.5,25.0,16.7,0.1,0,0,0.0,5.00,-4.00,EasoJa00
Deebo Samuel*+,25,WR,16,15,,1,2,50.0,24,1,50.0,0,0.0,12.0,22.0,24.0,1.5,133.3,98.7,0,0,0.0,12.00,22.00,SamuDe00
Chris Banjo,31,DB,16,0,,1,1,100.0,23,0,0.0,0,0.0,23.0,23.0,23.0,1.4,118.7,,0,0,0.0,23.00,23.00,BanjCh00
Josh Rosen,24,QB,4,0,,2,11,18.2,19,0,0.0,2,18.2,1.7,-6.5,9.5,4.8,0.0,0.1,0,0,0.0,1.73,-6.45,RoseJo01
Kadarius Toney,22,WR,10,4,,1,3,33.3,19,0,0.0,0,0.0,6.3,6.3,19.0,1.9,56.2,1.8,1,6,25.0,3.25,3.25,ToneKa00
Dante Pettis,26,WR,3,0,,1,1,100.0,16,0,0.0,0,0.0,16.0,16.0,16.0,5.3,118.7,92.5,0,0,0.0,16.00,16.00,PettDa00
Courtland Sutton,26,WR,17,16,,1,1,100.0,16,0,0.0,0,0.0,16.0,16.0,16.0,0.9,118.7,99.9,0,0,0.0,16.00,16.00,SuttCo00
Tommy Townsend,25,P,16,0,,1,1,100.0,16,0,0.0,0,0.0,16.0,16.0,16.0,1.0,118.7,,0,0,0.0,16.00,16.00,TownTo01
Ryan Fitzpatrick,39,QB,1,1,0-1-0,3,6,50.0,13,0,0.0,0,0.0,2.2,2.2,4.3,13.0,56.2,2.3,1,2,14.3,1.57,1.57,FitzRy00
Matthias Farley,29,DB,17,0,,1,1,100.0,6,0,0.0,0,0.0,6.0,6.0,6.0,0.4,91.7,,0,0,0.0,6.00,6.00,FarlMa00
Derrick Henry,27,RB,8,8,,1,1,100.0,5,1,100.0,0,0.0,5.0,25.0,5.0,0.6,127.1,76.6,0,0,0.0,5.00,25.00,HenrDe00
Kellen Mond,22,QB,1,0,,2,3,66.7,5,0,0.0,0,0.0,1.7,1.7,2.5,5.0,70.1,14.9,0,0,0.0,1.67,1.67,MondKe00
John Wolford,26,QB,3,0,,1,4,25.0,5,0,0.0,1,25.0,1.3,-10.0,5.0,1.7,0.0,0.1,1,8,20.0,-0.60,-9.60,WolfJo00
Ezekiel Elliott,26,RB,17,17,,1,1,100.0,4,0,0.0,0,0.0,4.0,4.0,4.0,0.2,83.3,9.9,0,0,0.0,4.00,4.00,ElliEz00
Marcus Mariota,28,QB,10,0,,1,2,50.0,4,0,0.0,0,0.0,2.0,2.0,4.0,0.4,56.2,40.3,0,0,0.0,2.00,2.00,MariMa01
Johnny Hekker,31,P,17,0,,1,1,100.0,2,0,0.0,0,0.0,2.0,2.0,2.0,0.1,79.2,,0,0,0.0,2.00,2.00,HekkJo00
Greg Ward,26,WR,17,0,,1,2,50.0,2,0,0.0,0,0.0,1.0,1.0,2.0,0.1,56.2,0.0,0,0,0.0,1.00,1.00,WardGr02
Kendall Hinton,24,WR,16,1,,1,1,100.0,1,0,0.0,0,0.0,1.0,1.0,1.0,0.1,79.2,100.0,0,0,0.0,1.00,1.00,HintKe00
Keenan Allen*,29,WR,16,16,,0,1,0.0,0,0,0.0,0,0.0,0.0,0.0,,0.0,39.6,51.3,0,0,0.0,0.00,0.00,AlleKe00
Danny Amendola,36,WR,8,0,,0,1,0.0,0,0,0.0,0,0.0,0.0,0.0,,0.0,39.6,3.3,0,0,0.0,0.00,0.00,AmenDa00
Cole Beasley,32,WR,16,8,,0,1,0.0,0,0,0.0,0,0.0,0.0,0.0,,0.0,39.6,2.3,0,0,0.0,0.00,0.00,BeasCo00
Chris Boswell,30,K,17,0,,0,1,0.0,0,0,0.0,0,0.0,0.0,0.0,,0.0,39.6,,0,0,0.0,0.00,0.00,BoswCh00
A.J. Brown,24,WR,13,13,,0,2,0.0,0,0,0.0,0,0.0,0.0,0.0,,0.0,39.6,2.4,0,0,0.0,0.00,0.00,BrowAJ00
Rex Burkhead,31,RB,16,5,,0,1,0.0,0,0,0.0,0,0.0,0.0,0.0,,0.0,39.6,2.4,0,0,0.0,0.00,0.00,BurkRe00
Keelan Cole,28,WR,15,11,,0,1,0.0,0,0,0.0,0,0.0,0.0,0.0,,0.0,39.6,3.5,0,0,0.0,0.00,0.00,ColeKe00
Riley Dixon,28,P,17,0,,0,1,0.0,0,0,0.0,0,0.0,0.0,0.0,,0.0,39.6,,0,0,0.0,0.00,0.00,DixoRi00
Leonard Fournette,26,RB,14,13,,0,1,0.0,0,0,0.0,0,0.0,0.0,0.0,,0.0,39.6,28.1,0,0,0.0,0.00,0.00,FourLe00
Feleipe Franks,24,QB,9,0,,0,1,0.0,0,0,0.0,1,100.0,0.0,-45.0,,0.0,0.0,0.8,0,0,0.0,0.00,-45.00,FranFe00
Mike Gesicki,26,TE,17,9,,0,1,0.0,0,0,0.0,0,0.0,0.0,0.0,,0.0,39.6,4.2,0,0,0.0,0.00,0.00,GesiMi00
Blake Gillikin,23,P,17,0,,0,1,0.0,0,0,0.0,0,0.0,0.0,0.0,,0.0,39.6,,0,0,0.0,0.00,0.00,GillBl00
Sam Koch,39,P,17,0,,0,1,0.0,0,0,0.0,0,0.0,0.0,0.0,,0.0,39.6,,0,0,0.0,0.00,0.00,KochSa20
Cooper Kupp*+,28,WR,17,17,,0,1,0.0,0,0,0.0,0,0.0,0.0,0.0,,0.0,39.6,10.4,0,0,0.0,0.00,0.00,KuppCo00
Ty Long,28,P,17,0,,0,1,0.0,0,0,0.0,0,0.0,0.0,0.0,,0.0,39.6,,0,0,0.0,0.00,0.00,LongTy00
David Montgomery,24,RB,13,13,,0,1,0.0,0,0,0.0,1,100.0,0.0,-45.0,,0.0,0.0,21.2,0,0,0.0,0.00,-45.00,MontDa01
Cordarrelle Patterson,30,RB,16,13,,0,1,0.0,0,0,0.0,0,0.0,0.0,0.0,,0.0,39.6,2.9,0,0,0.0,0.00,0.00,PattCo00
Brett Rypien,25,QB,1,0,,0,2,0.0,0,0,0.0,0,0.0,0.0,0.0,,0.0,39.6,1.1,0,0,0.0,0.00,0.00,RypiBr00
D'Andre Swift,22,RB,13,4,,0,1,0.0,0,0,0.0,0,0.0,0.0,0.0,,0.0,39.6,0.5,0,0,0.0,0.00,0.00,SwifDA00
Albert Wilson,29,WR,14,5,,0,1,0.0,0,0,0.0,0,0.0,0.0,0.0,,0.0,39.6,0.0,1,1,50.0,-0.50,-0.50,WilsAl02
Brandon Zylstra,28,WR,13,3,,0,1,0.0,0,0,0.0,0,0.0,0.0,0.0,,0.0,39.6,0.4,0,0,0.0,0.00,0.00,ZylsBr00
